,country,Population,page,rev_id
9934,"Congo, Dem. Rep. of",0,Chikez Diemu,753704394.0
9935,"Congo, Dem. Rep. of",0,Justine Kasa-Vubu,786751925.0
9936,"Congo, Dem. Rep. of",0,Christian Atoki Ileka,787978838.0
9937,"Congo, Dem. Rep. of",0,Pierre Lumbi Okongo,774679596.0
9938,"Congo, Dem. Rep. of",0,Kisula Ngoy,713583472.0
9939,"Congo, Dem. Rep. of",0,Dolly Makambo Nawezi,763323939.0
9940,"Congo, Dem. Rep. of",0,Delphin Kyubwa,718961623.0
9941,"Congo, Dem. Rep. of",0,Koloso Sumaili,708359204.0
9942,"Congo, Dem. Rep. of",0,Laurent Mbariko,789487250.0
9943,"Congo, Dem. Rep. of",0,Freddy Matungulu,796099032.0
9944,"Congo, Dem. Rep. of",0,Victor Nendaka Bika,806383479.0
9945,"Congo, Dem. Rep. of",0,Gérard Gifuza,708358969.0
9946,Cook Island,0,Rose Toki-Brown,788897549.0
9947,Cook Island,0,Pumati Israela,788899523.0
9948,Cook Island,0,William (Smiley) Heather,788897273.0
9949,Cook Island,0,Teina Bishop,788898457.0
9950,Cook Island,0,Tom Marsters,806739780.0
9951,Cook Island,0,Maria Heather,757064438.0
9952,Cook Island,0,Terepai Maoate,767048874.0
9953,Cook Island,0,Norman George,763769083.0
9954,Cook Island,0,Tangaroa Tangaroa,737975585.0
9955,Cook Island,0,Tetangi Matapo,757064793.0
9956,Cook Island,0,Selina Napa,757064845.0
9957,Cook Island,0,Dorice Reid,757065079.0
9958,Cook Island,0,Deputy Prime Minister of the Cook Islands,767048881.0
9959,Cook Island,0,John Tangi,763769086.0
9960,Cook Island,0,Niki Rattle,778789714.0
9961,Cook Island,0,Vai Peua,763769088.0
9962,Cook Island,0,List of Presidents of the House of Ariki,728378933.0
9963,Cook Island,0,Apenera Short,788240713.0
9964,Cook Island,0,John Henry (Cook Islands politician),797303432.0
9965,Cook Island,0,Tekii Lazaro,763776768.0
9966,Cook Island,0,Ngai Tupa,757065152.0
9967,Cook Island,0,Mark Brown (Cook Islands),763774066.0
9968,Cook Island,0,Cassey Eggelton,757540405.0
9969,Cook Island,0,Moana Ioane,787050138.0
9970,Cook Island,0,George Angene,763769688.0
9971,Cook Island,0,Tou Travel Ariki,717545630.0
9972,Cook Island,0,Ngereteina Puna,719186872.0
9973,Cook Island,0,Wilkie Rasmussen,763776271.0
9974,Cook Island,0,Jim Marurai,799769949.0
9975,Cook Island,0,Teariki Heather,763769233.0
9976,Cook Island,0,Albert (Peto) Nicholas,763770488.0
9977,Cook Island,0,Piho Rua,717593716.0
9978,Cook Island,0,Vincent Ingram,763775867.0
9979,Cook Island,0,Inatio Akaruru,766806728.0
9980,Cook Island,0,Speaker of the Cook Islands Parliament,755442454.0
9981,Cook Island,0,Geoffrey Henry,797303508.0
9982,Cook Island,0,Kiriau Turepu,763776860.0
9983,Cook Island,0,Mii Parima,763776808.0
9984,Cook Island,0,Albert Henry (politician),797303536.0
9985,Cook Island,0,Robert Woonton,717897925.0
