country,population,page,rev_id,prediction
Cook Island,0,Piho Rua,717593716.0,Start
Cook Island,0,Henry Puna,786648340.0,C
Cook Island,0,Inatio Akaruru,766806728.0,Start
Cook Island,0,Tupou Faireka,763774025.0,Stub
Cook Island,0,Winton Pickering,763775034.0,Stub
Cook Island,0,Ngai Tupa,757065152.0,Stub
Cook Island,0,Albert (Peto) Nicholas,763770488.0,Stub
Cook Island,0,George Angene,763769688.0,Stub
Cook Island,0,Tou Travel Ariki,717545630.0,Stub
Cook Island,0,Niki Rattle,778789714.0,Stub
Cook Island,0,William (Smiley) Heather,788897273.0,Start
Cook Island,0,Ngereteina Puna,719186872.0,Stub
Cook Island,0,Kura Strickland,763776806.0,Stub
Cook Island,0,Speaker of the Cook Islands Parliament,755442454.0,Start
Cook Island,0,Mana Strickland,788499686.0,Start
Cook Island,0,Rose Toki-Brown,788897549.0,Stub
Cook Island,0,List of Presidents of the House of Ariki,728378933.0,Stub
Cook Island,0,Geoffrey Henry,797303508.0,Start
Cook Island,0,Joe Williams (Cook Islands politician),763776856.0,Start
Cook Island,0,Mark Brown (Cook Islands),763774066.0,Stub
Cook Island,0,Moana Ioane,787050138.0,Stub
Cook Island,0,Norman George,763769083.0,Start
Cook Island,0,John Tangi,763769086.0,Stub
Cook Island,0,Cassey Eggelton,757540405.0,Stub
Cook Island,0,Teariki Heather,763769233.0,Start
Cook Island,0,Vai Peua,763769088.0,Stub
Cook Island,0,Wilkie Rasmussen,763776271.0,Start
Cook Island,0,Tangata Vavia,763776191.0,Start
Cote d'Ivoire,24.9,0,0.0,0
Curacao,0.2,0,0.0,0
Czech Republic,0,Miloslav Ludvík,806586185.0,Stub
Czech Republic,0,Vojtěch Adam,779500408.0,Stub
Czech Republic,0,Svatopluk Němeček,804715467.0,Stub
Czech Republic,0,Antonín Novotný,790372008.0,C
Czech Republic,0,Vladimír Klokočka,717429365.0,Start
Czech Republic,0,Edvard Gregr,395526568.0,Stub
Czech Republic,0,Julius Gregr,395521877.0,Stub
Czech Republic,0,Josef Barák,711675761.0,Stub
Czech Republic,0,Václav Fischer,756317863.0,Start
Czech Republic,0,Adriana Krnáčová,801972898.0,Start
Czech Republic,0,Jan Fischer (politician),804868436.0,C
Czech Republic,0,Vlastimil Tusar,784145485.0,Start
Czech Republic,0,Petr Fiala,807420515.0,Start
Czech Republic,0,"Alexander von Mensdorff-Pouilly, Prince Dietrichstein von Nicolsburg",801939668.0,Start
Czech Republic,0,Jan Malypetr,704424304.0,Stub
Czech Republic,0,Vladimír Špidla,807462107.0,C
Czech Republic,0,Drahomíra Miklošová,806988445.0,Stub
Czech Republic,0,Radek John,798944631.0,Stub
Czech Republic,0,Franz Macoun,715640391.0,Stub
Czech Republic,0,Jan Skopeček (politician),806569308.0,Stub
Czech Republic,0,Zuzana Roithová,790608186.0,Start
Czech Republic,0,Alena Palečková,790608180.0,Stub
Czech Republic,0,Vojtěch Náprstek,798686948.0,C
Czech Republic,0,Antonín Janoušek,729912438.0,Stub
Czech Republic,0,Kamil Krofta,726762194.0,Start
Czech Republic,0,Táňa Fischerová,802360196.0,C
Czech Republic,0,Jana Juřenčáková,743423675.0,Stub
Czech Republic,0,Robert Pelikán,806708361.0,Stub
Czech Republic,0,Eva Nováková,779498276.0,Stub
Czech Republic,0,Dana Jurásková,804715205.0,Stub
Czech Republic,0,Richard Brabec,804820949.0,Stub
Czech Republic,0,Kamil Jankovský,723207013.0,Stub
Czech Republic,0,Pavel Fischer,804582256.0,Stub
Czech Republic,0,Jiří Kittner,776509425.0,Stub
Czech Republic,0,Alois Eliáš,806566913.0,C
Czech Republic,0,Hubert Ripka,737562321.0,Stub
Czech Republic,0,Marta Semelová,807334610.0,Stub
Czech Republic,0,Jaroslav Krejčí,776197284.0,Start
Czech Republic,0,Vlastimil Balín,779500749.0,Stub
Czech Republic,0,Jana Bobošíková,800754664.0,Start
Czech Republic,0,Ivo Svoboda (politician),776513552.0,Start
Czech Republic,0,Viktor Dyk,800925236.0,C
Czech Republic,0,Antonín Švehla,712426548.0,Stub
Czech Republic,0,Jiří Čeřovský,779501654.0,Stub
Czech Republic,0,Milan Uhde,780321961.0,Stub
Czech Republic,0,Michaela Marksová,806673585.0,Stub
Czech Republic,0,Miloslava Vostrá,779501194.0,Stub
Czech Republic,0,Jiří Svoboda (politician),779501161.0,Stub
Czech Republic,0,Pavel Bém,794995687.0,Start
Czech Republic,0,Marie Stiborová,779501096.0,Stub
Czech Republic,0,Zuzka Bebarová-Rujbrová,779501010.0,Stub
Czech Republic,0,Jiří Dolejš,779500957.0,Stub
Czech Republic,0,Miloslav Vlček,776513404.0,Stub
Czech Republic,0,Jakob Marzel Sternberger,713698544.0,Stub
Czech Republic,0,Jan Korger,779501783.0,Stub
Czech Republic,0,Dan Ťok,806231200.0,Stub
Czech Republic,0,Jan Stocklassa,776095794.0,Stub
Czech Republic,0,František Sláma (politician),722937211.0,Stub
Czech Republic,0,Miroslav Kostelka,803709959.0,Stub
Czech Republic,0,Oldřich Černík,780534267.0,Stub
Czech Republic,0,Tomáš Vandas,784968648.0,Start
Czech Republic,0,Jan Stráský,779839492.0,Start
Czech Republic,0,Ludmila Müllerová,806669752.0,Stub
Czech Republic,0,Miroslava Kopicová,802055280.0,Stub
Czech Republic,0,Jiří Dienstbier Jr.,802069244.0,C
Czech Republic,0,Jaromír Jermář,720027362.0,Stub
Czech Republic,0,Miroslava Němcová,806876791.0,Stub
Czech Republic,0,Miloš Vystrčil,806558617.0,Stub
Czech Republic,0,Edvard Kožušník,793087579.0,Stub
Czech Republic,0,Martin Kupka,806636602.0,Stub
Czech Republic,0,Leoš Heger,806751902.0,Stub
Czech Republic,0,Bruno Kafka,783065752.0,Stub
